Kod,Nazev,Kategorie
E835,Poruchy metabolismu vápníku,"Poruchy nutriční, metabolické a vnitřního prostředí"
E838,Jiné poruchy metabolismu minerálů,"Poruchy nutriční, metabolické a vnitřního prostředí"
E839,Poruchy metabolismu minerálů NS,"Poruchy nutriční, metabolické a vnitřního prostředí"
E84,Cystická fibróza,
E840,Cystická fibróza s plicními projevy,Cystická fibróza
E841,Cystická fibróza se střevními projevy,Cystická fibróza
E848,Cystická fibróza s jinými projevy,Cystická fibróza
E849,Cystická fibróza NS,Cystická fibróza
E85,Amyloidóza,
E850,Rodinně – dědičná amyloidóza bez neuropatie,Jiná onemocnění měkkých tkání
E851,Rodinně – dědičná neuropatická amyloidóza,Jiná onemocnění měkkých tkání
E852,Rodinně – dědičná amyloidóza NS,Jiná onemocnění měkkých tkání
E853,Sekundární systémová amyloidóza,Systémová onemocnění pojivových tkání
E854,Orgánově ohraničená amyloidóza,Jiná onemocnění měkkých tkání
E858,Jiná určená amyloidóza,Jiná onemocnění měkkých tkání
E859,Amyloidóza NS,Jiná onemocnění měkkých tkání
E86,Snížení objemu plazmy nebo extracelulární tekutiny,"Poruchy nutriční, metabolické a vnitřního prostředí"
E87,Jiné poruchy tekutin‚ elektrolytů a acidobasické rovnováhy,
E870,Hyperosmolalita a hypernatremie,"Poruchy nutriční, metabolické a vnitřního prostředí"
E871,Hypoosmolalita a hyponatremie,"Poruchy nutriční, metabolické a vnitřního prostředí"
E872,Acidóza,"Poruchy nutriční, metabolické a vnitřního prostředí"
E873,Alkalóza,"Poruchy nutriční, metabolické a vnitřního prostředí"
E874,Smíšená porucha acidobasické rovnováhy,"Poruchy nutriční, metabolické a vnitřního prostředí"
E875,Hyperkalemie,"Poruchy nutriční, metabolické a vnitřního prostředí"
E876,Hypokalemie,"Poruchy nutriční, metabolické a vnitřního prostředí"
E877,Přetížení tekutinami,"Poruchy nutriční, metabolické a vnitřního prostředí"
E878,Jiné poruchy rovnováhy elektrolytů a tekutin nezařazené jinde,"Poruchy nutriční, metabolické a vnitřního prostředí"
E88,Jiné poruchy metabolismu,
E880,Poruchy metabolismu plazmatických bílkovin nezařazené jinde,"Poruchy nutriční, metabolické a vnitřního prostředí"
E881,Lipodystrofie nezařazená jinde,"Poruchy nutriční, metabolické a vnitřního prostředí"
E882,Lipomatóza nezařazená jinde,"Poruchy nutriční, metabolické a vnitřního prostředí"
E883,Syndrom nádorové lýzy,Jiné nemoci vylučovací soustavy
E888,Jiné určené poruchy metabolismu,"Poruchy nutriční, metabolické a vnitřního prostředí"
E889,Poruchy metabolismu NS,"Poruchy nutriční, metabolické a vnitřního prostředí"
E89,Metabolické a endokrinní stavy po operačních a jiných zákrocích NJ,
E890,Hypotyreóza po operačních a jiných výkonech,Nemoci štítné žlázy a příštítných tělísek
E891,Hypoinzulinemie po operačních a jiných výkonech,Jiné nemoci endokrinních žláz
E892,Hypoparatyreóza po operačních a jiných výkonech,Nemoci štítné žlázy a příštítných tělísek
E893,Hypopituitarismus po operačních a jiných zákrocích,Funkční poruchy hypofýzy
E894,Ovariální selhání po operačních a jiných zákrocích,Funkční a strukturální poruchy děložních adnex
E895,Testikulární hypofunkce po operačních a jiných zákrocích,"Funkční a strukturální poruchy šourku, varlat a testikulárních adnex"
E896,Hypofunkce kůry (dřeně) nadledvin po operačním nebo jiném zákroku,Funkční poruchy nadledviny
E898,Jiné endokrinní a metabolické poruchy po operačních a jiných zákrocích,"Poruchy nutriční, metabolické a vnitřního prostředí"
E899,Metabolická a endokrinní porucha po operačním nebo jiném zákroku NS,"Poruchy nutriční, metabolické a vnitřního prostředí"
E90,Poruchy výživy a přeměny látek u nemocech zařazených jinde,"Poruchy nutriční, metabolické a vnitřního prostředí"
F00,Demence u Alzheimerovy nemoci (G30.-+),
F000,Demence u Alzheimerovy nemoci s časným nástupem (G30.0+),Neurodegenerativní onemocnění s převažující demencí
F001,Demence u Alzheimerovy nemoci s pozdním nástupem (G30.1+),Neurodegenerativní onemocnění s převažující demencí
F002,"Demence u Alzheimerovy nemoci, atypického nebo smíšeného typu (G30.8+)",Neurodegenerativní onemocnění s převažující demencí
F009,Demence u Alzheimerovy nemoci NS (G30.9+),Neurodegenerativní onemocnění s převažující demencí
F01,Vaskulární demence,
F010,Vaskulární demence s akutním nástupem,Neurodegenerativní onemocnění s převažující demencí
F011,Multiinfarktová demence,Neurodegenerativní onemocnění s převažující demencí
F012,Subkortikální vaskulární demence,Neurodegenerativní onemocnění s převažující demencí
F013,Smíšená kortikální a subkortikální vaskulární demence,Neurodegenerativní onemocnění s převažující demencí
F018,Jiné vaskulární demence,Neurodegenerativní onemocnění s převažující demencí
F019,Vaskulární demence NS,Neurodegenerativní onemocnění s převažující demencí
F02,Demence u jiných nemocí zařazených jinde,
F020,Demence u Pickovy choroby (G31.0+),Neurodegenerativní onemocnění s převažující demencí
F021,Demence u Creutzfeldtovy–Jakobovy nemoci (A81.0+),Neurodegenerativní onemocnění s převažující demencí
F022,Demence u Huntingtonovy nemoci (G10+),Neurodegenerativní onemocnění s převažující demencí
F023,Demence u Parkinsonovy nemoci (G20+),Neurodegenerativní onemocnění s převažující demencí
F024,Demence u onemocnění virem lidské imunodeficience [HIV] (B22.0+),Neurodegenerativní onemocnění s převažující demencí
F028,Demence u jiných určených nemocí zařazených jinde,Neurodegenerativní onemocnění s převažující demencí
F03,Neurčená demence,Neurodegenerativní onemocnění s převažující demencí
F04,Organický amnestický syndrom nevyv. alkoh. nebo jinými psychoakt.látk.,Neurodegenerativní onemocnění s převažující demencí
F05,Delirium nevyvolané alkoholem nebo jinými psychoaktivními látkami,
F050,Delirium‚ které nenasedá na demenci‚ takto popsané,Delirium
F051,Delirium‚ nasedající na demenci,Delirium
F058,Jiné delirium,Delirium
F059,Delirium NS,Delirium
F06,Jiné duš. poruchy‚ způs. pošk. mozku‚ jeho dysfunkcí a somatickou nem.,
F060,Organická halucinóza,Organické poruchy
F061,Organická katatonní porucha,Organické poruchy
F062,Organická porucha s bludy (podobná schizofrenii),Organické poruchy
F063,Organické poruchy nálady (afektivní),Organické poruchy
F064,Organická úzkostná porucha,Organické poruchy
F065,Organická disociativní porucha,Organické poruchy
F066,Organická emoční labilita (astenie),Organické poruchy
F067,Lehká porucha poznávání,Organické poruchy
F068,Jiné urč. duš. poruchy způs. pošk. a dysfunkcí mozku a somatickou nem.,Organické poruchy
F069,Neurčená duš. porucha‚ způs. pošk. a dysfunkcí mozku a somatickou nem.,Organické poruchy
F07,"Poruchy osobnosti a chování způs. onem., poškozením a dysfunkcí mozku",
F070,Organická porucha osobnosti,Organické poruchy
F071,Postencefalitický syndrom,Organické poruchy
F072,Postkomoční syndrom,Jiná onemocnění a poruchy nervové soustavy
F078,Jiné org. poruchy osobn. a chování způs. onem.‚pošk. a dysfunkcí mozku,Organické poruchy
F079,Org. poruchy osobn. a chování NS‚ způs. onem.‚ pošk. a dysfunkcí mozku,Organické poruchy
F09,Neurčená organická nebo symptomatická duševní porucha,Organické poruchy
F10,Poruchy způsobené alkoholem,
F100,Poruchy způsobené alkoholem – akutní intoxikace,Akutní intoxikace psychoaktivními látkami
F101,Poruchy způsobené alkoholem – škodlivé použití,Jiné poruchy a stavy způsobené užíváním psychoaktivních látek
F102,Poruchy způsobené alkoholem – syndrom závislosti,Odvykací syndrom a syndrom závislosti na psychoaktivních látkách
F103,Poruchy způsobené alkoholem – odvykací stav,Odvykací syndrom a syndrom závislosti na psychoaktivních látkách
F104,Poruchy způsobené alkoholem – odvykací stav s deliriem,Delirium způsobené užíváním psychoaktivních látek
F105,Poruchy způsobené alkoholem – psychotická porucha,Psychotické poruchy způsobené užíváním psychoaktivních látek
F106,Poruchy způsobené alkoholem – amnestický syndrom,Psychotické poruchy způsobené užíváním psychoaktivních látek
F107,Poruchy způsobené alkoholem – psychot.por.reziduální a s pozdním nást.,Psychotické poruchy způsobené užíváním psychoaktivních látek
F108,Poruchy způsobené alkoholem – jiné duševní poruchy a poruchy chování,Jiné poruchy a stavy způsobené užíváním psychoaktivních látek
F109,Poruchy způsobené alkoholem – neurč. duševní poruchy a poruchy chování,Jiné poruchy a stavy způsobené užíváním psychoaktivních látek
F11,Poruchy způsobené opioidy,
F110,Poruchy způsobené opioidy – akutní intoxikace,Akutní intoxikace psychoaktivními látkami
F111,Poruchy způsobené opioidy – škodlivé použití,Jiné poruchy a stavy způsobené užíváním psychoaktivních látek
F112,Poruchy způsobené opioidy – syndrom závislosti,Odvykací syndrom a syndrom závislosti na psychoaktivních látkách
F113,Poruchy způsobené opioidy – odvykací stav,Odvykací syndrom a syndrom závislosti na psychoaktivních látkách
F114,Poruchy způsobené opioidy – odvykací stav s deliriem,Delirium způsobené užíváním psychoaktivních látek
F115,Poruchy způsobené opioidy – psychotická porucha,Psychotické poruchy způsobené užíváním psychoaktivních látek
F116,Poruchy způsobené opioidy – amnestický syndrom,Psychotické poruchy způsobené užíváním psychoaktivních látek
F117,Poruchy způsobené opioidy – psychot.por.reziduální a s pozdním nást.,Psychotické poruchy způsobené užíváním psychoaktivních látek
F118,Poruchy způsobené opioidy – jiné duševní poruchy a poruchy chování,Jiné poruchy a stavy způsobené užíváním psychoaktivních látek
F119,Poruchy způsobené opioidy – neurčené duševní poruchy a poruchy chování,Jiné poruchy a stavy způsobené užíváním psychoaktivních látek
F12,Poruchy způsobené kanabinoidy,
F120,Poruchy způsobené kanabinoidy – akutní intoxikace,Akutní intoxikace psychoaktivními látkami
F121,Poruchy způsobené kanabinoidy – škodlivé použití,Jiné poruchy a stavy způsobené užíváním psychoaktivních látek
F122,Poruchy způsobené kanabinoidy – syndrom závislosti,Odvykací syndrom a syndrom závislosti na psychoaktivních látkách
F123,Poruchy způsobené kanabinoidy – odvykací stav,Odvykací syndrom a syndrom závislosti na psychoaktivních látkách
F124,Poruchy způsobené kanabinoidy – odvykací stav s deliriem,Delirium způsobené užíváním psychoaktivních látek
F125,Poruchy způsobené kanabinoidy – psychotická porucha,Psychotické poruchy způsobené užíváním psychoaktivních látek
F126,Poruchy způsobené kanabinoidy – amnestický syndrom,Psychotické poruchy způsobené užíváním psychoaktivních látek
F127,Poruchy způs. kanabinoidy – psychot.por.reziduální a s pozdním nást.,Psychotické poruchy způsobené užíváním psychoaktivních látek
F128,Poruchy způsobené kanabinoidy – jiné duševní poruchy a poruchy chování,Jiné poruchy a stavy způsobené užíváním psychoaktivních látek
F129,Poruchy způs. kanabinoidy – neurčené duševní poruchy a poruchy chování,Jiné poruchy a stavy způsobené užíváním psychoaktivních látek
F13,Poruchy způsobené sedativy nebo hypnotiky,
F130,Poruchy způsobené sedativy n. hypnotiky – akutní intoxikace,Akutní intoxikace psychoaktivními látkami
F131,Poruchy způsobené sedativy n. hypnotiky – škodlivé použití,Jiné poruchy a stavy způsobené užíváním psychoaktivních látek
F132,Poruchy způsobené sedativy n. hypnotiky – syndrom závislosti,Odvykací syndrom a syndrom závislosti na psychoaktivních látkách
F133,Poruchy způsobené sedativy n. hypnotiky – odvykací stav,Odvykací syndrom a syndrom závislosti na psychoaktivních látkách
F134,Poruchy způsobené sedativy n. hypnotiky – odvykací stav s deliriem,Delirium způsobené užíváním psychoaktivních látek
F135,Poruchy způsobené sedativy n. hypnotiky – psychotická porucha,Psychotické poruchy způsobené užíváním psychoaktivních látek
F136,Poruchy způsobené sedativy n. hypnotiky – amnestický syndrom,Psychotické poruchy způsobené užíváním psychoaktivních látek
F137,Poruchy způs.sedativy n.hypnotiky – psychot.por.rez. a s pozdním nást.,Psychotické poruchy způsobené užíváním psychoaktivních látek
F138,Poruchy způs. sedativy n. hypnotiky – jiné duš. poruchy a por. chování,Jiné poruchy a stavy způsobené užíváním psychoaktivních látek
F139,Poruchy způs.sedativy n.hypnotiky – neurč. duš. poruchy a por. chování,Jiné poruchy a stavy způsobené užíváním psychoaktivních látek
F14,Poruchy způsobené kokainem,
F140,Poruchy způsobené kokainem – akutní intoxikace,Akutní intoxikace psychoaktivními látkami
F141,Poruchy způsobené kokainem – škodlivé použití,Jiné poruchy a stavy způsobené užíváním psychoaktivních látek
F142,Poruchy způsobené kokainem – syndrom závislosti,Odvykací syndrom a syndrom závislosti na psychoaktivních látkách
F143,Poruchy způsobené kokainem – odvykací stav,Odvykací syndrom a syndrom závislosti na psychoaktivních látkách
F144,Poruchy způsobené kokainem – odvykací stav s deliriem,Delirium způsobené užíváním psychoaktivních látek
F145,Poruchy způsobené kokainem – psychotická porucha,Psychotické poruchy způsobené užíváním psychoaktivních látek
F146,Poruchy způsobené kokainem – amnestický syndrom,Psychotické poruchy způsobené užíváním psychoaktivních látek
F147,Poruchy způsobené kokainem – psychot.por.reziduální a s pozdním nást.,Psychotické poruchy způsobené užíváním psychoaktivních látek
F148,Poruchy způsobené kokainem – jiné duševní poruchy a poruchy chování,Jiné poruchy a stavy způsobené užíváním psychoaktivních látek
F149,Poruchy způsobené kokainem – neurč. duševní poruchy a poruchy chování,Jiné poruchy a stavy způsobené užíváním psychoaktivních látek
F15,Poruchy způsobené jinými stimulancii,
F150,Poruchy způsobené jinými stimulancii – akutní intoxikace,Akutní intoxikace psychoaktivními látkami
F151,Poruchy způsobené jinými stimulancii – škodlivé použití,Jiné poruchy a stavy způsobené užíváním psychoaktivních látek
F152,Poruchy způsobené jinými stimulancii – syndrom závislosti,Odvykací syndrom a syndrom závislosti na psychoaktivních látkách
F153,Poruchy způsobené jinými stimulancii – odvykací stav,Odvykací syndrom a syndrom závislosti na psychoaktivních látkách
F154,Poruchy způsobené jinými stimulancii – odvykací stav s deliriem,Delirium způsobené užíváním psychoaktivních látek
F155,Poruchy způsobené jinými stimulancii – psychotická porucha,Psychotické poruchy způsobené užíváním psychoaktivních látek
F156,Poruchy způsobené jinými stimulancii – amnestický syndrom,Psychotické poruchy způsobené užíváním psychoaktivních látek
F157,Poruchy způs. jin. stimulancii – psychot.por.rezid. a s pozdním nást.,Psychotické poruchy způsobené užíváním psychoaktivních látek
F158,Poruchy způs. jin. stimulancii – jiné duš. poruchy a poruchy chování,Jiné poruchy a stavy způsobené užíváním psychoaktivních látek
